routeId,sourceId,selectionMode,selectedKnowledgePointIds,questionType,setKind,generationPatternGroupIds,compatiblePatternSpecIds,currentVerifiedMaxQuestionCount,currentQualityStatus,currentUniqueItemSetCount,r04GapCodes
pgc_r03_g3a_u08_3a08_numeric_6ec70c8709ce,g3a_u08_3a08,mixedKnowledgePointsSameUnit,kp_g3a_u08_part_whole_fraction|kp_g3a_u08_unit_fraction_accumulation|kp_g3a_u08_discrete_set_fraction|kp_g3a_u08_same_denominator_compare,numeric,mixed-all,pg_g3a_u08_part_whole_fraction_numeric|pg_g3a_u08_unit_fraction_accumulation_numeric|pg_g3a_u08_discrete_set_fraction_numeric|pg_g3a_u08_same_denominator_compare_numeric,ps_g3a_u08_part_whole_fraction_fraction_numeric|ps_g3a_u08_unit_fraction_accumulation_fraction_numeric|ps_g3a_u08_discrete_set_fraction_item_count_numeric|ps_g3a_u08_discrete_set_fraction_fractional_units_numeric|ps_g3a_u08_same_denominator_compare_comparison_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u07_3b07_numeric_4f615b76b29f,g3b_u07_3b07,sourceUnit,,numeric,source-unit,,ps_g3b_u07_quotient_as_fraction_quotient_numeric|ps_g3b_u07_fraction_unit_conversion_item_count_numeric|ps_g3b_u07_fraction_unit_conversion_fractional_units_numeric,12,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u07_3b07_numeric_dacd2cf49319,g3b_u07_3b07,singleKnowledgePoint,kp_g3b_u07_quotient_as_fraction,numeric,single-form,pg_g3b_u07_quotient_as_fraction_numeric,ps_g3b_u07_quotient_as_fraction_quotient_numeric,12,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u07_3b07_numeric_aa87e2c60d1d,g3b_u07_3b07,singleKnowledgePoint,kp_g3b_u07_fraction_unit_conversion,numeric,single-form,pg_g3b_u07_fraction_unit_conversion_numeric,ps_g3b_u07_fraction_unit_conversion_item_count_numeric|ps_g3b_u07_fraction_unit_conversion_fractional_units_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u07_3b07_numeric_9891d69ea218,g3b_u07_3b07,mixedKnowledgePointsSameUnit,kp_g3b_u07_quotient_as_fraction|kp_g3b_u07_fraction_unit_conversion,numeric,mixed-all,pg_g3b_u07_quotient_as_fraction_numeric|pg_g3b_u07_fraction_unit_conversion_numeric,ps_g3b_u07_quotient_as_fraction_quotient_numeric|ps_g3b_u07_fraction_unit_conversion_item_count_numeric|ps_g3b_u07_fraction_unit_conversion_fractional_units_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u09_3b09_numeric_9d24ef0becbd,g3b_u09_3b09,sourceUnit,,numeric,source-unit,,ps_g3b_u09_tenth_representation_decimal_numeric|ps_g3b_u09_decimal_read_write_decimal_text_numeric|ps_g3b_u09_decimal_compose_decompose_decimal_numeric|ps_g3b_u09_tenths_fraction_decimal_conversion_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u09_3b09_numeric_0e6d785763a5,g3b_u09_3b09,singleKnowledgePoint,kp_g3b_u09_tenth_representation,numeric,single-form,pg_g3b_u09_tenth_representation_numeric,ps_g3b_u09_tenth_representation_decimal_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u09_3b09_numeric_eb4a933a8a8d,g3b_u09_3b09,singleKnowledgePoint,kp_g3b_u09_decimal_read_write,numeric,single-form,pg_g3b_u09_decimal_read_write_numeric,ps_g3b_u09_decimal_read_write_decimal_text_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u09_3b09_numeric_04bd6bfd759b,g3b_u09_3b09,singleKnowledgePoint,kp_g3b_u09_decimal_compose_decompose,numeric,single-form,pg_g3b_u09_decimal_compose_decompose_numeric,ps_g3b_u09_decimal_compose_decompose_decimal_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g3b_u09_3b09_numeric_611db864f74a,g3b_u09_3b09,singleKnowledgePoint,kp_g3b_u09_tenths_fraction_decimal,numeric,single-form,pg_g3b_u09_tenths_fraction_decimal_numeric,ps_g3b_u09_tenths_fraction_decimal_conversion_numeric,8,DIVERSE_PARAMETER_GENERATOR,8,CAPACITY_BELOW_20
pgc_r03_g3b_u09_3b09_numeric_347c3ab9e890,g3b_u09_3b09,mixedKnowledgePointsSameUnit,kp_g3b_u09_tenth_representation|kp_g3b_u09_decimal_read_write|kp_g3b_u09_decimal_compose_decompose|kp_g3b_u09_tenths_fraction_decimal,numeric,mixed-all,pg_g3b_u09_tenth_representation_numeric|pg_g3b_u09_decimal_read_write_numeric|pg_g3b_u09_decimal_compose_decompose_numeric|pg_g3b_u09_tenths_fraction_decimal_numeric,ps_g3b_u09_tenth_representation_decimal_numeric|ps_g3b_u09_decimal_read_write_decimal_text_numeric|ps_g3b_u09_decimal_compose_decompose_decimal_numeric|ps_g3b_u09_tenths_fraction_decimal_conversion_numeric,8,DIVERSE_PARAMETER_GENERATOR,8,CAPACITY_BELOW_20
pgc_r03_g4b_u08_4b08_numeric_e63dcc56e182,g4b_u08_4b08,sourceUnit,,numeric,source-unit,,ps_g4b_u08_generate_equivalent_fraction_factor_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_numerator_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_denominator_numeric|ps_g4b_u08_equivalence_cross_product_equivalent_numeric,9,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4b_u08_4b08_numeric_2f594c75ad07,g4b_u08_4b08,singleKnowledgePoint,kp_g4b_u08_generate_equivalent_fraction,numeric,single-form,pg_g4b_u08_generate_equivalent_fraction_numeric,ps_g4b_u08_generate_equivalent_fraction_factor_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_numerator_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_denominator_numeric,9,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4b_u08_4b08_numeric_9cbcbbe53418,g4b_u08_4b08,singleKnowledgePoint,kp_g4b_u08_equivalence_cross_product,numeric,single-form,pg_g4b_u08_equivalence_cross_product_numeric,ps_g4b_u08_equivalence_cross_product_equivalent_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4b_u08_4b08_numeric_e21804772679,g4b_u08_4b08,mixedKnowledgePointsSameUnit,kp_g4b_u08_generate_equivalent_fraction|kp_g4b_u08_equivalence_cross_product,numeric,mixed-all,pg_g4b_u08_generate_equivalent_fraction_numeric|pg_g4b_u08_equivalence_cross_product_numeric,ps_g4b_u08_generate_equivalent_fraction_factor_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_numerator_numeric|ps_g4b_u08_generate_equivalent_fraction_equivalent_denominator_numeric|ps_g4b_u08_equivalence_cross_product_equivalent_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4a_u09_4a09_numeric_bee1ae206b8b,g4a_u09_4a09,sourceUnit,,numeric,source-unit,,ps_g4a_u09_hundredth_representation_decimal_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4a_u09_4a09_numeric_9f2e445cb0a5,g4a_u09_4a09,singleKnowledgePoint,kp_g4a_u09_hundredth_representation,numeric,single-form,pg_g4a_u09_hundredth_representation_numeric,ps_g4a_u09_hundredth_representation_decimal_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4b_u06_4b06_numeric_8060b6cce6ed,g4b_u06_4b06,sourceUnit,,numeric,source-unit,,ps_g4b_u06_one_decimal_times_integer_product_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g4b_u06_4b06_numeric_13afea5d4fd1,g4b_u06_4b06,singleKnowledgePoint,kp_g4b_u06_one_decimal_times_integer,numeric,single-form,pg_g4b_u06_one_decimal_times_integer_numeric,ps_g4b_u06_one_decimal_times_integer_product_numeric,8,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g5a_u04_5a04_numeric_cc6261f81797,g5a_u04_5a04,sourceUnit,,numeric,source-unit,,ps_g5a_u04_expand_reduce_simplest_common_factor_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_numerator_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_denominator_numeric|ps_g5a_u04_quotient_as_fraction_context_share_per_recipient_numeric,9,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g5a_u04_5a04_numeric_0904972d5d27,g5a_u04_5a04,singleKnowledgePoint,kp_g5a_u04_expand_reduce_simplest,numeric,single-form,pg_g5a_u04_expand_reduce_simplest_numeric,ps_g5a_u04_expand_reduce_simplest_common_factor_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_numerator_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_denominator_numeric,9,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g5a_u04_5a04_numeric_eb066dd13b85,g5a_u04_5a04,singleKnowledgePoint,kp_g5a_u04_quotient_as_fraction_context,numeric,single-form,pg_g5a_u04_quotient_as_fraction_context_numeric,ps_g5a_u04_quotient_as_fraction_context_share_per_recipient_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
pgc_r03_g5a_u04_5a04_numeric_00f6e4a5c762,g5a_u04_5a04,mixedKnowledgePointsSameUnit,kp_g5a_u04_expand_reduce_simplest|kp_g5a_u04_quotient_as_fraction_context,numeric,mixed-all,pg_g5a_u04_expand_reduce_simplest_numeric|pg_g5a_u04_quotient_as_fraction_context_numeric,ps_g5a_u04_expand_reduce_simplest_common_factor_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_numerator_numeric|ps_g5a_u04_expand_reduce_simplest_simplest_denominator_numeric|ps_g5a_u04_quotient_as_fraction_context_share_per_recipient_numeric,6,FIXTURE_SELECTOR,1,CAPACITY_BELOW_20|FIXTURE_SELECTOR
