routeId,sourceId,questionType,verifiedMaxQuestionCount,qualityStatus,uniqueItemSetCount,uniqueOrderedWorksheetCount,crossSeedDiversityPassed
pgc_r03_g3a_u06_3a06_application_4da5b561b50f,g3a_u06_3a06,application,20,DIVERSE_PARAMETER_GENERATOR,2,2,true
pgc_r03_g3a_u06_3a06_numeric_28394c1f6229,g3a_u06_3a06,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3a_u06_3a06_application_aec8a16babd8,g3a_u06_3a06,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3a_u06_3a06_numeric_4b21955d0f36,g3a_u06_3a06,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3a_u06_3a06_numeric_c825c93cc63f,g3a_u06_3a06,numeric,20,FIXTURE_SELECTOR,1,1,false
pgc_r03_g3a_u06_3a06_numeric_2e2053269a6e,g3a_u06_3a06,numeric,20,FIXTURE_SELECTOR,1,1,false
pgc_r03_g3a_u06_3a06_numeric_b9596b7ab643,g3a_u06_3a06,numeric,20,FIXTURE_SELECTOR,1,1,false
pgc_r03_g3a_u06_3a06_numeric_2f13ee63e867,g3a_u06_3a06,numeric,20,FIXTURE_SELECTOR,1,1,false
pgc_r03_g3a_u06_3a06_numeric_307830e5d373,g3a_u06_3a06,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3a_u06_3a06_application_508aaf9f1bbf,g3a_u06_3a06,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_5f5fb9fe47b4,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_application_807998db5d0e,g3b_u01_3b01,application,20,DIVERSE_PARAMETER_GENERATOR,2,2,true
pgc_r03_g3b_u01_3b01_numeric_29b17f26acee,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_application_0bd5235fd4ec,g3b_u01_3b01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_7da802257acb,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_36fe6128fde0,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_aedc085ef9cc,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_3fe018680716,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_a681cd1f2492,g3b_u01_3b01,numeric,9,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_8df81a5bcecd,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_application_e0e16ad3307e,g3b_u01_3b01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_5637742f4d5c,g3b_u01_3b01,numeric,9,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_application_1a8786fb5af9,g3b_u01_3b01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_numeric_f102070aaab1,g3b_u01_3b01,numeric,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u01_3b01_application_5ed5771357cb,g3b_u01_3b01,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_numeric_da4bc99acb92,g3b_u04_3b04,numeric,3,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_893b211bcdf6,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_pbl_e1916a90faec,g3b_u04_3b04,pbl,20,FIXTURE_SELECTOR,1,1,false
pgc_r03_g3b_u04_3b04_application_11bba8b043a5,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_075ff20dc5a6,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_a82197bfb202,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_b01e4074824c,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_af73cc7665ca,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_73e89dbf8bf0,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_numeric_aaa25276d55e,g3b_u04_3b04,numeric,3,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_3602182d8a79,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_e854a057330c,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_195bcb35906a,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u04_3b04_application_612c077a7fcc,g3b_u04_3b04,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_973842923812,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_1f40bb61bf5a,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_e4d5ee302b3b,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_29be55e03e0a,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_7a6ab3aab78b,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
pgc_r03_g3b_u08_3b08_application_276fa28ad0b9,g3b_u08_3b08,application,20,DIVERSE_PARAMETER_GENERATOR,10,10,true
